category,activity
,Chores
Chores,Cleaning
Chores,Filling Up Gas
Chores,Laundry
Chores,Mowing the Lawn
Chores,Organizing
Chores,Taking Out the Trash
Chores,Washing Dishes
Chores,Chores - Other
,Creative Work
Creative Work,Drawing
Creative Work,Playing an Instrument
,Errands
Errands,Grocery Shopping
Errands,Mailing Package
Errands,Errands - Other
,Exercise
Exercise,Biking
Exercise,Hiking
Exercise,Kungfu
Exercise,Running
Exercise,Sports
Exercise,Swimming
Exercise,Training
Exercise,Exercise - Walking
Exercise,Working Out
Exercise,Yoga
Exercise,Exercise - Other
,Food
Food,Breakfast
Food,Lunch
Food,Dinner
Food,Snack
,Hygiene
Hygiene,General
Hygiene,Showering
Hygiene,Waste Removal
,Introspection
Introspection,Journal
Introspection,Meditation
Introspection,Reflection
,Leisure
Leisure,Exploring
Leisure,Internet
Leisure,Leisure - Listening
Leisure,Playing Board Games
Leisure,Playing Games
Leisure,Playing Video Games
Leisure,Leisure - Reading
Leisure,Shopping
Leisure,Talking
Leisure,Watching TV
Leisure,Watching Live Event
,Other
Other,Waiting
,Personal Work
Personal Work,Communication
Personal Work,Projects
Personal Work,Personal Work - Other
Personal Work,Personal Work - Studying
Personal Work,Updating Tools
,Preparation
Preparation,Getting Ready (Physically)
Preparation,Planning
,Rest
Rest,Laying on the Bed
Rest,Nap
Rest,Sleep
,Social
Social,Hangout
Social,Social - Meeting
,Transition
,Transportation
Transportation,Airplane
Transportation,Car
Transportation,Train
Transportation,Transportation - Walking
,Work
Work,General Day Job
Work,Work - Meeting
Work,Work - Studying
Work,Presentation
,Worship
Worship,Church
Worship,Worship - Listening
Worship,Music
Worship,Praying
Worship,Worship - Reading
Worship,Small Group
Worship,Worship - Studying